,정류장_ID,정류장명,10(승차),11(승차),12(승차),13(승차),14(승차),15(승차),16(승차),10(하차),11(하차),12(하차),13(하차),14(하차),15(하차),16(하차),통과노선수
40,41_삼양사,삼양사,0.0,0.0,0.0196078431,0.0588235294,0.0,0.0196078431,0.00653594771,0.0196078431,0.0392156863,0.0849673203,0.14379085,0.346405229,0.248366013,0.346405229,2
41,42_시화염색단지입구,시화염색단지입구,0.0208333333,0.00694444444,0.00694444444,0.0416666667,0.00694444444,0.118055556,0.0138888889,0.0486111111,0.0277777778,0.0833333333,0.0902777778,0.0902777778,0.298611111,0.159722222,5
42,43_시화환경사업소,시화환경사업소,0.0,0.0,0.00675675676,0.0135135135,0.00675675676,0.0202702703,0.00675675676,0.297297297,0.310810811,0.398648649,0.391891892,0.344594595,0.344594595,0.378378378,5
43,44_오이도입구,오이도입구,0.19205298,0.417218543,0.635761589,0.867549669,0.655629139,0.847682119,0.562913907,0.205298013,1.092715232,0.582781457,1.231788079,1.556291391,1.476821192,1.218543046,7
44,45_오이도박물관,오이도박물관,0.139072848,0.119205298,0.337748344,0.370860927,0.589403974,0.927152318,1.284768212,0.0529801325,0.0397350993,0.390728477,0.178807947,0.178807947,0.245033113,0.344370861,5
45,46_함상전망대,함상전망대,13.29139073,9.960264901,14.45033113,12.23178808,14.01324503,13.95364238,16.01324503,1.450331126,0.78807947,2.225165563,2.801324503,3.086092715,3.390728477,1.920529801,7
46,47_오이도종합어시장,오이도종합어시장,18.95364238,14.1589404,20.94701987,20.91390728,25.90728477,26.10596026,25.18543046,1.622516556,0.708609272,2.271523179,1.364238411,2.324503311,3.245033113,1.715231788,7
47,48_오이도중앙로입구,오이도중앙로입구,9.728476821,6.781456954,9.662251656,8.887417219,10.64238411,13.57615894,13.31788079,0.298013245,0.245033113,0.668874172,0.317880795,0.761589404,0.913907285,0.437086093,7
48,49_오이도해양단지.옥터초교입구,오이도해양단지.옥터초교입구,3.02,2.953333333,4.593333333,4.713333333,7.133333333,10.24,10.49333333,0.126666667,0.26,0.193333333,0.226666667,0.406666667,0.593333333,0.506666667,8
49,50_오이도차고지,오이도차고지,0.0810810811,0.0405405405,0.128378378,0.162162162,0.195945946,0.337837838,0.148648649,2.47972973,4.567567568,5.27027027,4.939189189,5.364864865,5.554054054,5.614864865,11
